"answer","difficulty","qid","sid","text","type"
"string","Medium","mc500.train.18.17","mc500.train.18","What did Kelly use to tie the flowers together?","Story"
"flowers","Medium","mc500.train.18.18","mc500.train.18","what did Kelly give her mom as a present?","Story"
"Morgan","Medium","mc500.train.18.19","mc500.train.18","What was her baby sister's name?","Story"
"So Morgan wouldn't find the flowers and eat them","Medium","mc500.train.18.20","mc500.train.18","Why did Kelly hide the flowers a second time?","Story"
"She was going to give her mother the flowers","Medium","mc500.train.18.21","mc500.train.18","Why was Kelly collecting flowers?","Story"
"the flowers","Hard","mc500.train.18.22","mc500.train.18","What did she tie together with a string?","Story"
"her back yard","Hard","mc500.train.18.23","mc500.train.18","where did she pick flowers flowers?","Story"
"The red ones","Discourse","mc500.train.18.24","mc500.train.18","Which flowers were big?","Story"
"outside to her back yard | outside | to her back yard","Discourse","mc500.train.18.25","mc500.train.18","After she woke up, where did Kelly go?","Story"
"she went inside | she went inside and tied them together with a string","Discourse","mc500.train.18.26","mc500.train.18","What did Kelly do after she had collected the flowers?","Story"
"by the river","Easy","mc500.train.25.0","mc500.train.25","Where is the beautiful pond?","Story"
"in a beautiful pond ","Medium","mc500.train.25.1","mc500.train.25","Where did Maxine live?","Story"
"rocks","Hard","mc500.train.25.2","mc500.train.25","What did Cindy throw?","Story"
"a new friend","Hard","mc500.train.25.3","mc500.train.25","who did Maxine meet?","Story"
"Will","Easy","mc500.train.111.0","mc500.train.111","Who was singing?","Story"
"a very silly looking dog","Easy","mc500.train.111.1","mc500.train.111","What did Will laugh at?","Story"
"thunder","Medium","mc500.train.111.2","mc500.train.111","What did Will hear?","Story"
"walked","Medium","mc500.train.111.3","mc500.train.111","How did Will get to the store?","Story"
"the store","Medium","mc500.train.111.4","mc500.train.111","Where did Will walk to?","Story"
"in the kitchen","Discourse","mc500.train.111.5","mc500.train.111","Where did Will eat dinner?","Story"
